id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
767,YHR200W,sce03050
768,YOL011W,sce00564
769,YOR374W,sce01110
770,YJL001W,sce03050
771,YBR166C,sce01230
772,YOR081C,sce00590
773,YDR390C,sce04120
774,YNR012W,sce00240
775,YBR087W,sce03420
776,YPL111W,sce01110
777,YHR119W,sce00310
778,YDL015C,sce01110
779,YJL095W,sce04139
780,YLR174W,sce00480
781,YGR225W,sce04113
782,YNCM0029C,sce00970
783,YDR248C,sce01110
784,YDR148C,sce00020
785,YDL084W,sce03040
786,YEL002C,sce00513
787,YOR160W,sce03013
788,YOL149W,sce03018
789,YNCD0009W,sce00970
790,YDR044W,sce01110
791,YDR148C,sce00310
792,YJR007W,sce04141
793,YNL106C,sce00562
794,YLR303W,sce01110
795,YFL009W,sce04111
796,YBR248C,sce00340
797,YJR130C,sce01230
798,YPR113W,sce00564
799,YKL182W,sce01212
800,YKL007W,sce04144
801,YAR007C,sce03440
802,YGL226C-A,sce04141
803,YKL080W,sce04145
804,YKL062W,sce04213
805,YAL061W,sce01110
806,YNCK0008W,sce00970
807,YBL098W,sce00380
808,YOR089C,sce04144
809,YNCC0001C,sce00970
810,YGL253W,sce00500
811,YOL052C,sce00330
812,YGR287C,sce00500
813,YBR018C,sce00052
814,YOR056C,sce03008
815,YGR240C,sce00030
816,YDR441C,sce00230
817,YJR158W,sce04113
818,YOR374W,sce00053
819,YGL009C,sce00290
820,YLR066W,sce03060
821,YGL256W,sce00620
822,YFR047C,sce01240
823,YJR043C,sce03410
824,YNCJ0002C,sce00970
825,YIL005W,sce04141
826,YGL196W,sce00260
827,YOR149C,sce00563
828,YCR068W,sce00561
829,YNCL0051C,sce00970
830,YKL067W,sce00230
831,YNCC0014W,sce00970
832,YLR229C,sce04011
833,YGR090W,sce03008
834,YGL022W,sce00510
835,YPL028W,sce00280
836,YLR359W,sce01110
837,YBR004C,sce00563
838,YOR142W,sce01200
839,YNR016C,sce01212
840,YBR167C,sce03008
841,YKL060C,sce00030
842,YMR170C,sce00561
843,YLR117C,sce03040
844,YBR154C,sce03020
845,YOL059W,sce00564
846,YDL078C,sce01110
847,YDR477W,sce04138
848,YOR275C,sce04144
849,YDR145W,sce03022
850,YDL008W,sce04111
851,YLL036C,sce04120
852,YER125W,sce04120
853,YOR270C,sce04145
854,YMR250W,sce00410
855,tQ_UUG_Q,sce00970
856,YGR087C,sce01110
